City,Lat,Lng,Max Temp,Humidity,Clouds,Temperature,Wind Speed,Country,Date
Avarua,-21.2078,-159.775,75.25,69,75,75.25,8.05,CK,1635224050
Kapaa,22.0752,-159.319,74.07,88,40,74.07,11.5,US,1635223765
Punta Arenas,-53.15,-70.9167,39.31,75,75,39.31,10.36,CL,1635223760
Rikitea,-23.1203,-134.9692,75.72,72,73,75.72,15.32,PF,1635224051
Hong Kong,22.2855,114.1577,78.84,73,100,78.84,8.99,HK,1635223816
Hualmay,-11.0964,-77.6139,62.1,85,68,62.1,9.62,PE,1635224052
Cherskiy,68.75,161.3,-11.72,96,97,-11.72,2.84,RU,1635224052
Port Alfred,-33.5906,26.891,65.35,84,54,65.35,19.6,ZA,1635224053
Tara,56.8944,74.371,37.58,90,100,37.58,15.41,RU,1635224053
Øksfjord,70.2396,22.3479,28.47,94,83,28.47,10.38,NO,1635224053
Faanui,-16.4833,-151.75,74.75,86,100,74.75,8.61,PF,1635224054
Magomeni,-6.8,39.25,75.58,94,75,75.58,4.61,TZ,1635224054
Saskylakh,71.9167,114.0833,2.62,95,100,2.62,2.35,RU,1635223909
Kruisfontein,-34.0033,24.7314,61.88,88,78,61.88,8.19,ZA,1635224055
Puerto Ayora,-0.7393,-90.3518,67.55,94,69,67.55,3.0,EC,1635224056
Morón,-34.6534,-58.6198,66.74,69,1,66.74,5.14,AR,1635224056
Hobart,-42.8794,147.3294,61.14,51,20,61.14,1.01,AU,1635224057
Gainesville,29.6516,-82.3248,73.62,90,75,73.62,8.05,US,1635223999
Waingapu,-9.6567,120.2641,88.57,60,96,88.57,12.06,ID,1635224058
Tuktoyaktuk,69.4541,-133.0374,28.4,100,90,28.4,3.44,CA,1635223795
Zhigansk,66.7697,123.3711,26.87,96,100,26.87,14.05,RU,1635224058
Barrow,71.2906,-156.7887,24.82,80,90,24.82,11.5,US,1635224059
Kaeo,-35.1,173.7833,72.32,78,81,72.32,7.52,NZ,1635224059
Ahipara,-35.1667,173.1667,66.42,77,99,66.42,6.6,NZ,1635224060
Beloha,-25.1667,45.05,83.07,50,66,83.07,8.1,MG,1635224060
Jaqué,7.5175,-78.1703,78.1,89,94,78.1,3.36,PA,1635224061
Nanfeng,23.7434,111.7959,82.09,46,0,82.09,1.7,CN,1635224061
Tigil',57.8,158.6667,34.02,95,100,34.02,9.51,RU,1635224062
Harper,4.375,-7.7169,76.75,84,100,76.75,5.08,LR,1635223849
Cape Town,-33.9258,18.4232,61.54,64,0,61.54,1.99,ZA,1635224062
Oistins,13.0667,-59.5333,82.49,74,20,82.49,19.57,BB,1635224063
Sioux Lookout,50.1001,-91.917,32.07,93,1,32.07,2.3,CA,1635224064
San Cristobal,7.7669,-72.225,68.18,97,60,68.18,1.63,VE,1635223881
Ushuaia,-54.8,-68.3,33.46,80,40,33.46,9.22,AR,1635224065
Calama,-22.4667,-68.9333,51.89,24,5,51.89,7.87,CL,1635224065
São Filipe,14.8961,-24.4956,78.15,80,67,78.15,8.23,CV,1635224065
Shubarshi,48.5872,57.1869,39.42,71,39,39.42,13.94,KZ,1635224066
Jālaun,26.1451,79.3366,81.55,46,0,81.55,3.38,IN,1635224066
Phan Thiet,10.9333,108.1,76.59,93,100,76.59,9.44,VN,1635224067
Busselton,-33.65,115.3333,56.05,63,99,56.05,11.45,AU,1635224068
Bilibino,68.0546,166.4372,-14.33,96,96,-14.33,2.71,RU,1635224068
Saint-Philippe,-21.3585,55.7679,78.31,74,40,78.31,13.85,RE,1635224069
Shagonar,51.5333,92.8,45.36,49,15,45.36,1.72,RU,1635224069
Khani,41.9563,42.9566,35.17,84,69,35.17,2.93,GE,1635224069
Vao,-22.6667,167.4833,71.87,80,15,71.87,17.25,NC,1635224070
Synya,65.3718,58.0387,18.88,91,91,18.88,5.5,RU,1635224070
Clyde River,70.4692,-68.5914,19.54,82,56,19.54,8.63,CA,1635224071
Bredasdorp,-34.5322,20.0403,62.28,91,100,62.28,10.22,ZA,1635224071
Cascais,38.6979,-9.4215,59.68,75,0,59.68,10.0,PT,1635223927
George Town,5.4112,100.3354,87.37,74,40,87.37,5.01,MY,1635224072
Ancud,-41.8697,-73.8203,49.53,92,100,49.53,12.82,CL,1635224073
Broome,42.2506,-75.833,59.76,80,100,59.76,1.01,US,1635224073
Lavrentiya,65.5833,-171.0,14.97,80,100,14.97,10.09,RU,1635223846
Severo-Kuril'sk,50.6789,156.125,46.83,83,25,46.83,15.95,RU,1635224074
Dubbo,-32.25,148.6167,75.33,29,0,75.33,4.61,AU,1635224076
Itamaracá,-7.7478,-34.8256,80.65,74,100,80.65,10.87,BR,1635224076
Carnarvon,-24.8667,113.6333,69.87,52,42,69.87,16.11,AU,1635224078
Plouzané,48.3833,-4.6167,57.34,97,90,57.34,12.66,FR,1635224078
Upernavik,72.7868,-56.1549,14.79,53,11,14.79,7.49,GL,1635223848
Monroe,43.1501,-77.6831,52.54,97,90,52.54,6.91,US,1635223903
Necochea,-38.5473,-58.7368,48.04,61,12,48.04,10.29,AR,1635224079
Ponta Delgada,37.7333,-25.6667,68.72,73,40,68.72,12.66,PT,1635224079
Emporia,38.4039,-96.1817,49.51,86,39,49.51,8.81,US,1635224080
Qaanaaq,77.484,-69.3632,7.2,74,100,7.2,13.2,GL,1635223791
Bengkulu,-3.8004,102.2655,83.37,69,100,83.37,6.06,ID,1635224081
Rørvik,64.8621,11.2373,46.51,93,75,46.51,4.61,NO,1635224081
Atikokan,48.7555,-91.6216,29.66,92,0,29.66,4.41,CA,1635224082
Hambantota,6.1241,81.1185,80.94,94,20,80.94,6.91,LK,1635224082
Sitka,57.0531,-135.33,40.89,87,1,40.89,3.44,US,1635224009
Alice Springs,-23.7,133.8833,98.15,18,40,98.15,5.75,AU,1635224083
Yellowknife,62.456,-114.3525,41.88,90,90,41.88,11.5,CA,1635224084
Quelimane,-17.8786,36.8883,77.92,83,75,77.92,7.0,MZ,1635224084
Dudinka,69.4058,86.1778,16.79,95,99,16.79,11.83,RU,1635224031
Lincoln,40.8,-96.667,43.47,87,1,43.47,3.0,US,1635223933
Cabedelo,-6.9811,-34.8339,75.87,74,100,75.87,15.64,BR,1635224086
Kaitangata,-46.2817,169.8464,53.26,86,100,53.26,5.48,NZ,1635224033
Namatanai,-3.6667,152.4333,84.29,62,66,84.29,4.47,PG,1635224086
Veracruz,19.3333,-96.6667,74.88,97,100,74.88,1.88,MX,1635223832
Mopipi,-21.1833,24.8833,68.31,65,81,68.31,13.58,BW,1635224087
Naze,28.3667,129.4833,72.52,58,3,72.52,13.11,JP,1635224088
Beaumont,30.0861,-94.1019,73.0,97,90,73.0,0.0,US,1635224082
Salinópolis,-0.6136,-47.3561,80.33,80,75,80.33,10.25,BR,1635224089
Port Macquarie,-31.4333,152.9167,69.89,58,56,69.89,8.63,AU,1635224089
New Norfolk,-42.7826,147.0587,61.68,41,1,61.68,1.99,AU,1635223870
San Juan,-31.5375,-68.5364,77.56,14,8,77.56,11.86,AR,1635224090
Straumen,63.8709,11.2999,39.4,92,100,39.4,2.89,NO,1635224020
Havre-St-Pierre,50.2334,-63.5986,33.44,93,1,33.44,5.75,CA,1635224091
Faya,18.3851,42.4509,55.92,53,1,55.92,1.88,SA,1635224091
Margate,51.3813,1.3862,50.68,91,55,50.68,1.99,GB,1635224092
Ino,33.55,133.4333,74.73,47,4,74.73,0.94,JP,1635224092
East London,-33.0153,27.9116,61.74,94,20,61.74,3.44,ZA,1635223809
Provideniya,64.3833,-173.3,19.51,58,75,19.51,11.18,RU,1635224093
Alamosa,37.4695,-105.87,47.71,38,2,47.71,11.45,US,1635223945
Pingliang,35.5392,106.6861,52.29,50,90,52.29,4.52,CN,1635224094
Wewak,-3.5534,143.6268,85.06,68,51,85.06,7.72,PG,1635224094
Pevek,69.7008,170.3133,2.89,94,100,2.89,3.18,RU,1635224095
Rawson,-43.3002,-65.1023,62.53,38,61,62.53,25.93,AR,1635223851
Eenhana,-17.4667,16.3333,58.75,31,14,58.75,5.12,NA,1635224095
San Patricio,28.017,-97.5169,78.78,76,97,78.78,9.26,US,1635223993
San Angelo,31.4638,-100.437,73.92,69,0,73.92,1.99,US,1635223994
Bluff,-46.6,168.3333,52.57,91,100,52.57,9.19,NZ,1635224096
San Quintín,30.4833,-115.95,65.12,77,86,65.12,7.87,MX,1635224097
Isangel,-19.55,169.2667,80.71,74,37,80.71,6.91,VU,1635223832
Simbahan,6.3032,120.5836,83.48,71,76,83.48,3.2,PH,1635224097
Roald,62.5833,6.1333,47.53,76,75,47.53,11.5,NO,1635224098
Warrington,53.3925,-2.5802,49.21,92,100,49.21,1.01,GB,1635223919
Talnakh,69.4865,88.3972,15.53,95,100,15.53,7.16,RU,1635224099
Poum,-20.2333,164.0167,76.17,69,76,76.17,9.4,NC,1635224099
Muros,42.7762,-9.0603,48.38,96,4,48.38,5.88,ES,1635224099
Hasaki,35.7333,140.8333,63.07,76,90,63.07,28.07,JP,1635224100
Ilhabela,-23.7781,-45.3581,67.66,89,88,67.66,0.87,BR,1635224101
Marktheidenfeld,49.8442,9.6039,47.05,95,100,47.05,1.01,DE,1635224102
San Lorenzo,-25.3333,-57.5333,59.59,82,0,59.59,0.0,PY,1635223979
Vilhena,-12.7406,-60.1458,69.12,87,100,69.12,2.73,BR,1635224103
Saldanha,-33.0117,17.9442,62.65,69,100,62.65,7.07,ZA,1635223888
Ous,60.9058,61.5186,26.71,66,11,26.71,7.43,RU,1635224104
Bara,10.3744,10.7288,77.11,74,100,77.11,4.74,NG,1635224105
Namtsy,62.7161,129.6658,35.71,94,100,35.71,1.03,RU,1635224105
Haines Junction,60.7522,-137.5108,15.75,92,100,15.75,1.14,CA,1635224106
Lüderitz,-26.6481,15.1594,57.58,87,2,57.58,1.9,NA,1635224106
Lorengau,-2.0226,147.2712,85.3,66,81,85.3,6.76,PG,1635224107
Dubuque,42.4833,-90.8668,40.03,72,1,40.03,5.75,US,1635223816
Fairbanks,64.8378,-147.7164,27.54,91,90,27.54,4.61,US,1635224106
Grindavik,63.8424,-22.4338,37.87,87,75,37.87,8.05,IS,1635224108
Hilo,19.7297,-155.09,72.01,97,64,72.01,6.44,US,1635224108
Lebu,-37.6167,-73.65,51.84,94,9,51.84,15.21,CL,1635224109
Pimentel,-6.8367,-79.9342,62.67,87,95,62.67,12.01,PE,1635224109
Formosa,-26.1775,-58.1781,60.78,88,0,60.78,4.61,AR,1635224110
Jambi City,-1.6,103.6167,92.14,52,90,92.14,3.4,ID,1635224110
Norman Wells,65.282,-126.8329,24.84,93,75,24.84,3.44,CA,1635224111
Udachny,66.4167,112.4,19.04,92,93,19.04,11.12,RU,1635224111
Tiznit Province,29.5833,-9.5,57.11,86,0,57.11,0.6,MA,1635224112
Matias Olímpio,-3.7158,-42.5556,74.16,82,30,74.16,3.38,BR,1635224112
Igunga,-4.2833,33.8833,75.27,50,95,75.27,7.85,TZ,1635224113
Mahébourg,-20.4081,57.7,75.49,78,75,75.49,19.57,MU,1635224113
Chui,-33.6971,-53.4616,58.87,74,0,58.87,6.11,UY,1635224114
Podgornoye,51.735,39.1496,30.42,69,0,30.42,6.71,RU,1635224114
Orlik,52.5178,99.825,40.5,48,15,40.5,3.71,RU,1635224115
Bubaque,11.2833,-15.8333,81.82,75,100,81.82,7.09,GW,1635224115
Kamenka,51.3223,42.7678,28.74,72,2,28.74,5.46,RU,1635224116
Port Hardy,50.6996,-127.4199,50.18,93,90,50.18,5.75,CA,1635223865
Cururupu,-1.8283,-44.8683,77.77,80,23,77.77,5.21,BR,1635224117
Bethel,41.3712,-73.414,53.04,93,90,53.04,4.0,US,1635224095
Kjøpsvik,68.097,16.3742,40.8,96,100,40.8,7.2,NO,1635224117
Jutaí,-5.1833,-68.9,72.28,99,100,72.28,3.76,BR,1635224118
Manzhouli,49.6,117.4333,40.51,57,9,40.51,17.72,CN,1635224118
Leh,34.1667,77.5833,30.34,53,7,30.34,1.88,IN,1635224119
Magdalena,14.1999,121.429,88.65,72,95,88.65,9.33,PH,1635224119
Hokitika,-42.7167,170.9667,56.86,96,100,56.86,3.11,NZ,1635223871
Kahului,20.8947,-156.47,75.45,81,20,75.45,17.27,US,1635223876
Cidreira,-30.1811,-50.2056,63.23,73,0,63.23,5.06,BR,1635224120
Stephenville,32.2207,-98.2023,74.19,86,1,74.19,6.91,US,1635224120
Catabola,-12.15,17.2833,62.92,88,100,62.92,2.04,AO,1635224121
Zliten,32.4674,14.5687,69.28,74,23,69.28,12.64,LY,1635224121
Toora-Khem,52.4675,96.11,45.21,42,63,45.21,3.78,RU,1635224122
Mendeleyevo,56.0333,37.2167,29.95,86,0,29.95,11.18,RU,1635224122
Mehamn,71.0357,27.8492,33.98,92,100,33.98,22.41,NO,1635224123
Valença,-13.3703,-39.0731,72.57,97,81,72.57,2.1,BR,1635224123
Caravelas,-17.7125,-39.2481,74.12,95,100,74.12,4.74,BR,1635224124
Nambutalai,9.7167,79.0,85.68,61,100,85.68,11.16,IN,1635224124
Bambous Virieux,-20.3428,57.7575,75.45,78,75,75.45,19.57,MU,1635224125
Podstepki,53.5151,49.1355,27.25,66,16,27.25,10.8,RU,1635224125
Marawi,7.9986,124.2928,76.64,70,96,76.64,7.47,PH,1635224126
Mabaruma,8.2,-59.7833,72.91,100,100,72.91,2.04,GY,1635224126
Usinsk,65.9939,57.5281,12.4,95,58,12.4,9.35,RU,1635224127
Illapel,-31.6308,-71.1653,59.5,73,5,59.5,0.34,CL,1635224127
Souillac,-20.5167,57.5167,75.58,78,75,75.58,19.57,MU,1635224128
Soyo,-6.1349,12.3689,76.44,85,100,76.44,8.97,AO,1635223908
Saint Paul Harbor,57.79,-152.4072,38.32,96,100,38.32,11.03,US,1635223944
Balikpapan,-1.2675,116.8289,85.19,74,20,85.19,5.75,ID,1635223958
Nome,64.5011,-165.4064,21.16,87,63,21.16,6.24,US,1635224129
Andenes,69.3143,16.1194,37.38,93,75,37.38,9.22,NO,1635224129
Maravilha,-26.7608,-53.1725,56.39,91,21,56.39,1.66,BR,1635224130
Pisco,-13.7,-76.2167,59.05,82,0,59.05,1.14,PE,1635224130
Hamilton,39.1834,-84.5333,49.89,92,90,49.89,3.0,US,1635224131
Wairoa,-39.0333,177.3667,77.56,48,25,77.56,8.01,NZ,1635224131
Troitsko-Pechorsk,62.7084,56.1964,22.42,92,69,22.42,2.91,RU,1635224131
Cartagena,10.3997,-75.5144,78.42,100,40,78.42,2.3,CO,1635224132
Shushenskoye,53.325,91.9356,51.48,45,35,51.48,8.61,RU,1635224132
Asău,46.4333,26.4,29.3,63,1,29.3,2.73,RO,1635224133
Nānākuli,21.3906,-158.1547,77.52,64,20,77.52,8.05,US,1635224134
Altay,47.8667,88.1167,51.42,41,7,51.42,0.58,CN,1635224134
Iqaluit,63.7506,-68.5145,29.7,92,90,29.7,10.0,CA,1635224135
Cabo San Lucas,22.8909,-109.9124,74.59,76,2,74.59,5.01,MX,1635224099
Kankakee,41.15,-87.8667,46.22,89,90,46.22,10.36,US,1635224053
Arkadelphia,34.1209,-93.0538,57.06,75,0,57.06,4.63,US,1635224136
Coahuayana Viejo,18.7333,-103.6833,76.46,89,100,76.46,3.13,MX,1635224136
Qasigiannguit,68.8193,-51.1922,-2.25,81,0,-2.25,3.42,GL,1635224137
Amarillo,35.222,-101.8313,63.99,44,0,63.99,4.0,US,1635224107
Narsaq,60.9167,-46.05,32.23,48,21,32.23,9.31,GL,1635223907
Sabha,27.0377,14.4283,67.59,27,7,67.59,8.1,LY,1635224138
Aklavik,68.2191,-135.0107,25.63,97,85,25.63,4.56,CA,1635224138
Gushikawa,26.3544,127.8686,78.19,49,40,78.19,12.66,JP,1635224139
Pirot,43.1531,22.5861,37.51,100,0,37.51,4.83,RS,1635224139
Bahía Blanca,-38.7196,-62.2724,63.43,39,28,63.43,13.24,AR,1635224139
Salta,-24.7859,-65.4117,60.73,45,0,60.73,1.99,AR,1635224140
Nekā,36.6508,53.299,60.31,88,75,60.31,2.3,IR,1635224140
Klaksvík,62.2266,-6.589,43.72,73,92,43.72,9.46,FO,1635224141
Buraidah,26.326,43.975,66.65,28,0,66.65,2.77,SA,1635224141
Te Anau,-45.4167,167.7167,61.75,75,59,61.75,2.86,NZ,1635224142
Neturhāt,23.4833,84.2667,72.63,48,0,72.63,3.58,IN,1635224142
Havelock,34.8791,-76.9013,68.49,95,1,68.49,3.44,US,1635224002
Saint-Pierre,-21.3393,55.4781,78.75,63,0,78.75,19.57,RE,1635224143
Chokurdakh,70.6333,147.9167,-21.91,100,28,-21.91,2.57,RU,1635223844
Okhotsk,59.3833,143.3,27.73,75,20,27.73,7.96,RU,1635224143
Aksarka,66.5606,67.7975,16.99,83,24,16.99,10.4,RU,1635224144
Bikaner,28.0167,73.3,77.41,37,0,77.41,4.65,IN,1635224144
Maceió,-9.6658,-35.7353,78.24,88,20,78.24,4.61,BR,1635223884
Katsuura,35.1333,140.3,68.13,72,73,68.13,17.43,JP,1635224145
Cap-aux-Meules,47.3821,-61.8597,46.42,76,86,46.42,4.61,CA,1635224145
Nuuk,64.1835,-51.7216,27.88,58,0,27.88,11.01,GL,1635224146
Kysyl-Syr,63.8986,122.7617,32.7,83,98,32.7,5.75,RU,1635224146
Malbork,54.0359,19.0266,41.77,78,100,41.77,8.41,PL,1635224147
Liepāja,56.5419,21.0367,44.58,93,90,44.58,5.75,LV,1635224147
Ribeira Grande,38.5167,-28.7,69.44,76,37,69.44,23.49,PT,1635224148
Torbay,47.6666,-52.7314,39.36,85,90,39.36,10.36,CA,1635224148
Beringovskiy,63.05,179.3167,15.26,77,99,15.26,1.39,RU,1635224148
Pingzhuang,42.0372,119.2889,56.43,29,3,56.43,17.43,CN,1635224149
Kaihua,23.3687,104.28,64.38,79,97,64.38,6.55,CN,1635224150
Nouakchott,18.0858,-15.9785,80.53,47,100,80.53,12.66,MR,1635224150
Platteville,42.7342,-90.4785,37.98,82,3,37.98,5.48,US,1635224150
Paripiranga,-10.6875,-37.8617,67.71,94,65,67.71,3.87,BR,1635224151
Tual,-5.6667,132.75,83.37,75,63,83.37,9.64,ID,1635223885
Ponta do Sol,32.6667,-17.1,68.77,69,8,68.77,7.0,PT,1635224152
Khatanga,71.9667,102.5,5.23,95,100,5.23,3.67,RU,1635224152
Pacific Grove,36.6177,-121.9166,51.4,90,0,51.4,1.01,US,1635223860
Wattegama,6.7989,81.4808,79.72,59,95,79.72,3.24,LK,1635224153
Ixtapa,20.7,-105.2,73.58,84,64,73.58,2.13,MX,1635224154
St. George's,12.0564,-61.7485,82.08,78,20,82.08,21.85,GD,1635224154
Peremyshlyany,49.6652,24.5585,30.52,67,8,30.52,5.99,UA,1635224155
Ilulissat,69.2167,-51.1,-2.04,81,1,-2.04,3.96,GL,1635224155
Launceston,-41.45,147.1667,62.92,53,2,62.92,3.0,AU,1635224156
Sur,22.5667,59.5289,84.81,50,5,84.81,5.95,OM,1635224156
Kalmunai,7.4167,81.8167,85.95,63,88,85.95,8.99,LK,1635224157
Kloulklubed,7.0419,134.2556,84.09,65,53,84.09,7.4,PW,1635224157
Nikolskoye,59.7035,30.7861,41.52,89,100,41.52,9.28,RU,1635224158
Quryq,43.2,51.65,49.6,58,100,49.6,17.92,KZ,1635224158
Nueva Granada,9.8017,-74.393,74.71,95,99,74.71,4.32,CO,1635224159
Guymon,36.6828,-101.4816,58.84,47,0,58.84,21.25,US,1635224160
Darasun,51.6667,114.0,43.34,43,69,43.34,12.17,RU,1635224160
Blagoveshchenka,52.8333,79.8667,49.73,39,100,49.73,16.78,RU,1635224161
Ranong,9.9658,98.6348,87.73,69,86,87.73,1.72,TH,1635224162
Meulaboh,4.1363,96.1285,84.11,69,86,84.11,6.06,ID,1635223989
Panjakent,39.4952,67.6093,51.6,30,98,51.6,2.77,TJ,1635224163
Saint Anthony,45.0205,-93.218,38.25,76,1,38.25,1.01,US,1635224163
Reconquista,-29.15,-59.65,63.09,58,0,63.09,7.67,AR,1635224163
Nevşehir,38.9167,34.6667,24.01,93,0,24.01,4.61,TR,1635224164
Ketchikan,55.3422,-131.6461,46.87,100,90,46.87,4.61,US,1635223861
Mount Gambier,-37.8333,140.7667,69.71,40,100,69.71,9.22,AU,1635223952
Spring Hill,28.4769,-82.5255,74.71,68,1,74.71,1.01,US,1635223875
Palmer,42.1584,-72.3287,48.02,86,90,48.02,1.99,US,1635223930
Sakakah,29.9697,40.2064,62.17,28,0,62.17,3.91,SA,1635224165
Savalou,7.9281,1.9756,75.06,89,99,75.06,2.77,BJ,1635224166
Moose Factory,51.2585,-80.6094,35.58,100,90,35.58,4.61,CA,1635224167
Maumere,-8.6199,122.2111,85.6,68,53,85.6,2.89,ID,1635224167
Oodweyne,9.4092,45.064,73.11,63,77,73.11,8.1,SO,1635224168
Bashtanka,47.4072,32.4387,29.88,68,0,29.88,6.38,UA,1635224168
Kuah,6.3265,99.8432,87.78,74,40,87.78,3.44,MY,1635224154
Kovernino,57.1253,43.8142,33.1,86,100,33.1,10.78,RU,1635224169
Novosysoyevka,44.235,133.3642,61.36,40,5,61.36,8.43,RU,1635224169
Gornopravdinsk,60.05,69.9,28.54,85,100,28.54,13.02,RU,1635224170
Dunedin,-45.8742,170.5036,53.8,83,98,53.8,3.0,NZ,1635224170
Fukuechō,32.6881,128.8419,71.96,56,40,71.96,8.05,JP,1635223966
Amarante do Maranhão,-5.5667,-46.7422,75.94,81,9,75.94,2.21,BR,1635224051
Cam Ranh,11.9214,109.1591,75.16,88,75,75.16,9.22,VN,1635224171
Husavik,66.0449,-17.3389,22.91,78,66,22.91,7.67,IS,1635224171
Koutsouras,35.0339,25.9469,64.11,62,57,64.11,11.97,GR,1635224172
Berlevåg,70.8578,29.0864,33.21,84,100,33.21,26.6,NO,1635224172
Aykhal,66.0,111.5,14.56,90,32,14.56,8.61,RU,1635224173
Vila Velha,-20.3297,-40.2925,73.35,83,90,73.35,2.3,BR,1635224094
Nhamundá,-2.1861,-56.7131,76.53,81,37,76.53,2.42,BR,1635224174
Skibbereen,51.55,-9.2667,55.2,92,100,55.2,19.35,IE,1635224174
Saint-Joseph,-21.3667,55.6167,78.03,71,31,78.03,11.81,RE,1635224175
Dali,25.7,100.1833,68.61,49,32,68.61,4.81,CN,1635224175
Hirara,24.8,125.2833,79.07,57,20,79.07,14.97,JP,1635224176
Zhezkazgan,47.8043,67.7144,51.85,33,92,51.85,9.42,KZ,1635224177
Antigonish,45.6169,-61.9986,44.26,92,100,44.26,2.42,CA,1635224177
Ambilobe,-13.2,49.05,84.67,41,9,84.67,8.55,MG,1635224178
Petatlán,17.5167,-101.2667,75.34,94,100,75.34,3.94,MX,1635224178
Sistranda,63.7256,8.834,44.56,78,100,44.56,7.07,NO,1635224179
Hervey Bay,-25.2986,152.8535,82.51,71,58,82.51,9.66,AU,1635224179
Talakan,50.3167,130.3667,49.86,58,32,49.86,5.53,RU,1635224180
Elko,41.0002,-115.5012,34.16,92,100,34.16,8.99,US,1635224011
Gangāpur,26.4833,76.7167,78.26,49,0,78.26,4.47,IN,1635224180
Codrington,-38.2667,141.9667,66.65,48,92,66.65,5.41,AU,1635224181
Njinikom,6.2333,10.2833,61.41,90,97,61.41,3.6,CM,1635224181
Fort Nelson,58.8053,-122.7002,29.79,100,90,29.79,0.0,CA,1635224182
Naryan-Mar,67.6713,53.087,21.45,86,72,21.45,10.27,RU,1635224182
Porto-Novo,6.4965,2.6036,78.62,90,97,78.62,3.78,BJ,1635224183
Steinbach am Taunus,50.1667,8.5667,47.28,93,40,47.28,3.44,DE,1635224183
Puerto Escondido,15.85,-97.0667,79.99,87,61,79.99,4.41,MX,1635224184
Cockburn Town,21.4612,-71.1419,82.8,78,66,82.8,16.82,TC,1635223893
Aksu,41.1231,80.2644,54.25,32,4,54.25,0.72,CN,1635224184
Qaryat Sulūq,31.6682,20.2521,69.93,50,59,69.93,6.08,LY,1635224185
Tres Arroyos,-38.3739,-60.2798,50.76,68,14,50.76,8.97,AR,1635224186
Pangai,-19.8,-174.35,78.91,57,20,78.91,13.8,TO,1635224186
Ciudad Ojeda,10.1964,-71.3082,78.75,85,22,78.75,4.68,VE,1635224186
Opuwo,-18.0607,13.84,65.53,28,48,65.53,4.18,NA,1635224187
Corowa,-36.0333,146.3833,68.47,36,0,68.47,1.68,AU,1635224187
Kotelnikowo,47.6317,43.1461,33.66,64,26,33.66,4.27,RU,1635224188
Kita,13.0349,-9.4895,75.88,79,91,75.88,2.64,ML,1635224189
Río Cuarto,-33.1307,-64.3499,62.83,36,6,62.83,7.96,AR,1635224189
Vidim,56.4088,103.1106,43.09,69,94,43.09,13.6,RU,1635224190
Shizunai-furukawachō,42.3339,142.3669,57.36,79,100,57.36,12.53,JP,1635224190
Shingū,33.7333,135.9833,72.59,52,0,72.59,6.24,JP,1635224191
Constitución,-35.3333,-72.4167,55.54,82,40,55.54,9.69,CL,1635224191
Hay River,60.8156,-115.7999,39.18,93,90,39.18,5.75,CA,1635224135
